Subject,Context,Name,Time (s),Description 
SCI_HCU,Left,Foot Strike,1.47545,Foot Strike
SCI_HCU,Left,Foot Strike,3.49727,Foot Strike
SCI_HCU,Left,Foot Strike,5.58455,Foot Strike
SCI_HCU,Left,Foot Strike,7.57,Foot Strike
SCI_HCU,Left,Foot Strike,9.56273,Foot Strike
SCI_HCU,Left,Foot Strike,11.5045,Foot Strike
SCI_HCU,Left,Foot Off,2.93727,Foot Off
SCI_HCU,Left,Foot Off,5.01727,Foot Off
SCI_HCU,Left,Foot Off,7.03182,Foot Off
SCI_HCU,Left,Foot Off,9.04636,Foot Off
SCI_HCU,Left,Foot Off,10.9445,Foot Off
SCI_HCU,Right,Foot Strike,2.45727,Foot Strike
SCI_HCU,Right,Foot Strike,4.57364,Foot Strike
SCI_HCU,Right,Foot Strike,6.64636,Foot Strike
SCI_HCU,Right,Foot Strike,8.59545,Foot Strike
SCI_HCU,Right,Foot Strike,10.6536,Foot Strike
SCI_HCU,Right,Foot Off,3.95545,Foot Off
SCI_HCU,Right,Foot Off,6.05727,Foot Off
SCI_HCU,Right,Foot Off,8.02091,Foot Off
SCI_HCU,Right,Foot Off,10.0209,Foot Off
