Subject,Context,Name,Time (s),Description 
SCI_HCU,Left,Foot Strike,4.38455,Foot Strike
SCI_HCU,Left,Foot Strike,7.03909,Foot Strike
SCI_HCU,Left,Foot Strike,9.73,Foot Strike
SCI_HCU,Left,Foot Strike,12.6573,Foot Strike
SCI_HCU,Left,Foot Strike,15.5845,Foot Strike
SCI_HCU,Left,Foot Strike,19.1845,Foot Strike
SCI_HCU,Left,Foot Strike,22.13,Foot Strike
SCI_HCU,Left,Foot Strike,25.0936,Foot Strike
SCI_HCU,Left,Foot Off,6.43909,Foot Off
SCI_HCU,Left,Foot Off,9.18455,Foot Off
SCI_HCU,Left,Foot Off,12.0755,Foot Off
SCI_HCU,Left,Foot Off,14.93,Foot Off
SCI_HCU,Left,Foot Off,18.5664,Foot Off
SCI_HCU,Left,Foot Off,21.53,Foot Off
SCI_HCU,Left,Foot Off,24.4391,Foot Off
SCI_HCU,Right,Foot Strike,2.98455,Foot Strike
SCI_HCU,Right,Foot Strike,5.69364,Foot Strike
SCI_HCU,Right,Foot Strike,8.42091,Foot Strike
SCI_HCU,Right,Foot Strike,11.2209,Foot Strike
SCI_HCU,Right,Foot Strike,14.13,Foot Strike
SCI_HCU,Right,Foot Strike,17.6936,Foot Strike
SCI_HCU,Right,Foot Strike,20.73,Foot Strike
SCI_HCU,Right,Foot Strike,23.6391,Foot Strike
SCI_HCU,Right,Foot Strike,26.6027,Foot Strike
SCI_HCU,Right,Foot Off,5.02091,Foot Off
SCI_HCU,Right,Foot Off,7.73,Foot Off
SCI_HCU,Right,Foot Off,10.4936,Foot Off
SCI_HCU,Right,Foot Off,13.33,Foot Off
SCI_HCU,Right,Foot Off,17.0391,Foot Off
SCI_HCU,Right,Foot Off,20.0755,Foot Off
SCI_HCU,Right,Foot Off,22.9482,Foot Off
SCI_HCU,Right,Foot Off,25.93,Foot Off
